screen_name,name,account_created,tweets,following,followers
Toyota,Toyota USA,10 years ago,29259,18752,722770
ToyotaMotorCorp,Toyota Motor Corp.,4 years ago,6355,480,151238
Pampers,Pampers,9 years ago,32879,2796,157104
herbalessences,Herbal Essences,9 years ago,6323,702,48988
Yoplait,Yoplait Yogurt,9 years ago,14359,12332,68123
Luvs,Luvs Diapers & Wipes,8 years ago,7634,527,21178
OlaySkin,Olay Skin Care,6 years ago,10869,492,143321
Pantene,Pantene Pro-V,9 years ago,20982,1506,181403
revlon,Revlon,8 years ago,12101,1008,438636
Tampax,Tampax,6 years ago,2614,245,14783
BounceFresh,Bounce,5 years ago,597,56,11778
Febreze_Fresh,Febreze_Fresh,10 years ago,5768,1083,72563
Always,Always,6 years ago,4599,660,33537
Kleenex,KleenexÂ® Brand,6 years ago,13329,471,27435
tide,Tide,8 years ago,15009,2266,197020
Crest,Crest,8 years ago,13917,2696,90168
Puffs,Puffs,6 years ago,3647,906,31350
elfcosmetics,e.l.f. Cosmetics,9 years ago,32165,12298,388117
Charmin,Charmin,7 years ago,11936,4240,80335
LOrealParisUSA,L'OrÃ©al Paris USA,8 years ago,47689,1938,488029
COVERGIRL,COVERGIRL,8 years ago,27906,836,634814
Bounty,Bounty,7 years ago,5229,1182,71429
GilletteVenus,Gillette Venus,9 years ago,10134,1270,60566
PGeveryday,P&G everydayâ¢,6 years ago,10993,1239,41860
OralB,Oral-B,8 years ago,11189,2609,83409
cottonelle,Cottonelle,8 years ago,7367,794,35374
Pepto,Pepto-Bismol,7 years ago,10760,379,9735
SecretDeodorant,Secret Deodorant,9 years ago,10367,7959,92053
Maybelline,Maybelline New York,9 years ago,51504,1413,682302
ABHcosmetics,ABH Cosmetics,9 years ago,29435,667,604397
wetnwildbeauty,wet n wild beauty,9 years ago,11503,3447,278883
Charbroil,Char-Broil,8 years ago,24684,2820,21720
LancomeUSA,LancÃ´me USA,9 years ago,12244,844,370506
BenefitBeauty,Benefit Cosmetics US,9 years ago,70729,2299,965308
ScopeMouthwash,ScopeMouthwash,8 years ago,2711,664,23352
MACcosmetics,MACcosmetics,10 years ago,45453,1120,1507118
SunChips,SunChips Brand,9 years ago,1937,3531,58641
NyxCosmetics,NYX Pro Makeup,9 years ago,14597,123,1046129
NARSCosmetics,NARS Cosmetics,9 years ago,19103,781,581851
UrbanDecay,Urban Decay,9 years ago,17602,1794,1239281
sugarpillmakeup,Sugarpill Cosmetics,8 years ago,47431,6,115382
tartecosmetics,tartecosmetics,9 years ago,47958,477,797854
Gain,Gain Laundry,9 years ago,6894,1023,86340
RealMrClean,Mr. Clean,5 years ago,4675,5545,28908
OldSpice,Old Spice,9 years ago,6079,73,203964
WeberGrills,Weber Grills,9 years ago,43317,1683,59051
HVRanch,Hidden Valley Ranch,9 years ago,7204,2385,65407
Blue_Bunny,Blue_Bunny,10 years ago,25163,834,70026
DoleSunshine,Dole Packaged Foods,8 years ago,8083,1331,60268
twix,TWIXÂ®,7 years ago,3675,68,14282
7UP,7UP,7 years ago,15306,4917,112476
Smashbox,Smashbox Cosmetics,10 years ago,10070,1138,669816
Smarties,SmartiesÂ®,9 years ago,8406,2439,37368
GreenGiant,Green Giant,7 years ago,5720,2293,45452
KITKAT,KITKAT,7 years ago,15771,504,386579
milanicosmetics,Milani Cosmetics,8 years ago,6084,907,228351
Duracell,Duracell,8 years ago,6710,595,81464
ragusauce,RagÃºÂ®,8 years ago,6440,4263,36801
Butterfinger,Butterfinger,9 years ago,14503,291,105611
LibbysTable,Libby'sTable,8 years ago,6826,2768,18805
kraftrecipes,Kraft Recipes,9 years ago,16978,7723,218247
stilacosmetics,stilacosmetics,9 years ago,11644,29453,500267
MAKEUPFOREVERUS,MAKE UP FOR EVER,9 years ago,7544,517,664490
MistTwst,Mist Twst,8 years ago,6737,1560,28660
ColourPopCo,ColourPop Cosmetics,4 years ago,23242,101,818714
TooFaced,Too Faced Cosmetics,9 years ago,16180,3602,718206
Starburst,Starburst,7 years ago,3278,38,190032
MountainDew,Mountain DewÂ®,9 years ago,31148,38701,561816
MMsWorldStores,M&M'SÂ® World,6 years ago,1127,55,9458
Snapple,SnappleÂ®,9 years ago,24141,19647,93728
Skittles,Skittles,8 years ago,6360,17,388729
panerabread,Panera Bread,9 years ago,87250,11963,451792
Sprite,Sprite,8 years ago,17095,709,281778
juicyfruit,Juicy Fruit,4 years ago,752,3,72271
Jolly_Rancher,JOLLY RANCHER,8 years ago,11099,1464,74074
RedVines,Red Vines,8 years ago,12929,5823,59114
mmschocolate,M&M'SÂ® Brand,10 years ago,9614,64,95845
WheatThins,Wheat Thins,8 years ago,24831,10914,222944
Ivory,Ivory,7 years ago,2484,202,12404
olivegarden,Olive Garden,11 years ago,126484,18664,394515
ScrubbingBubble,Scrubbing BubblesÂ®,9 years ago,4754,3679,25981
Cream_of_Wheat,Cream of Wheatâ¢,9 years ago,2964,439,28152
Freschetta,Freschetta,8 years ago,3191,8383,19567
eatwholly,Wholly Guacamole,8 years ago,10454,1996,27361
QuiltedNorthern,Quilted NorthernÂ®,8 years ago,3313,1786,7441
AngelSoft,Angel SoftÂ®,5 years ago,1961,115,2320
drpepper,Dr Pepper,9 years ago,53612,35181,419754
Brawny,BrawnyÂ®,7 years ago,4210,286,15550
CocaColaCo,The Coca-Cola Co.,9 years ago,18501,35498,1260002
Lipton,LIPTONÂ® Tea,11 years ago,24902,5155,51517
DrinkAriZona,AriZona Iced Tea,9 years ago,29908,11159,82055
Natures_Own,Nature's Own,9 years ago,9466,1007,22625
DietCoke,Diet Coke,8 years ago,16983,845,301836
krispykreme,Krispy Kreme,9 years ago,46635,18147,321145
tridentgum,Trident Gum,8 years ago,8618,1038,56795
stridegum,STRIDE gum,8 years ago,10744,1235,39318
Motts,Mott's,9 years ago,12273,28242,45485
IHOP,IHOP,6 years ago,141817,1374,379499
GoldfishSmiles,Goldfish,6 years ago,11040,7207,37706
Outback,Outback Steakhouse,9 years ago,43516,9684,319285
redrobinburgers,Red Robin,9 years ago,40932,19575,185542
Dentyne,Dentyne,8 years ago,5025,1640,19321
TootsieRoll,Tootsie Roll,5 years ago,9710,352,41302
PEEPSBrand,PEEPSÂ® Brand ðð¥ð°,7 years ago,2930,125,22671
Folgers,Folgers,7 years ago,4509,93,20805
SourPunchCandy,Sour Punch Candy,8 years ago,5914,1645,42082
WaffleHouse,Waffle House,9 years ago,43653,5619,86738
Cheesecake,Cheesecake Factory,9 years ago,34129,14322,367556
mikeandike,MIKE AND IKEÂ® ð,9 years ago,4253,2318,52826
MrOwl,Mr. Owl,6 years ago,21440,1759,66336
chevrolet,Chevrolet,9 years ago,30427,20365,1009272
HOTTAMALESBrand,HOT TAMALESÂ® ð¥,7 years ago,1913,329,10605
WelchsFruitSnck,Welch's Fruit Snacks,7 years ago,3160,5274,43414
JuniorMints,Junior Mints,6 years ago,11528,204,27636
Quiznos,Quiznos,9 years ago,43970,4501,127528
sonicdrivein,Sonic Drive-In,9 years ago,49004,4838,364691
TGIFridays,TGI Fridays,8 years ago,63068,7938,213669
PeanutChews,Peanut Chews ð¯ðð,9 years ago,2419,725,2382
CafeBustelo,Cafe Bustelo,8 years ago,6729,1617,12486
DennysDiner,Denny's,9 years ago,14594,2435,500773
littlecaesars,Little Caesars,9 years ago,24414,487,264492
Keurig,Keurig,9 years ago,71159,3400,125069
indelight,InternationalDelight,9 years ago,17740,6290,32332
GMC,GMC,8 years ago,13810,6086,990503
adidasUS,adidas,9 years ago,15893,353,887822
Moto,Motorola Global,2 years ago,1544,105,79041
MotorolaUS,Motorola US,9 years ago,31581,16654,520476
OfficialMOPAR,MOPAR,7 years ago,12922,9585,152373
aleve,Aleve,5 months ago,18,0,30
CMEGroup,CMEGroup,10 years ago,37984,6609,688383
OracleCloud,Oracle Cloud,8 years ago,10839,675,63728
LiveNationNYC,Live Nation NYC,9 years ago,13958,1119,26204
PlayersTribune,The Players' Tribune,6 years ago,18289,2461,603976
Kia,Kia Motors America,9 years ago,30156,998,311509
WatchStadium,Stadium,5 years ago,77505,873,84281
IMG,IMG,9 years ago,2534,1042,40079
esports,Esports,9 months ago,740,21,275
RamTrucks,RamTrucks,8 years ago,9009,1315,377155
Dodge,Dodge,8 years ago,11564,15478,820218
FiatChrysler_NA,FCA-North America,11 years ago,25812,45201,648146
Cadillac,Cadillac,9 years ago,9793,1698,632554
Kia_Motors,Kia Motors Global,9 years ago,12366,718,219861
Jaguar,Jaguar,7 years ago,9004,1266,1050778
Chrysler,Chrysler,8 years ago,9710,2033,249358
Lexus,Lexus,9 years ago,21948,4570,920523
Buick,Buick,9 years ago,10671,2060,265191
mitsucars,Mitsubishi USA,9 years ago,6886,864,241627
MazdaUSA,Mazda USA,8 years ago,8257,9170,318145
FIATUSA,FIAT USA,8 years ago,9861,10664,230550
ChickfilANews,Chick-fil-A News,4 years ago,1444,2300,9405
Wendys,Wendy's,9 years ago,142144,1265,2772343
Arbys,Arby's,8 years ago,42477,76073,820439
Cinnabon,Cinnabon,8 years ago,257745,153967,173948
coldstoneng,Cold Stone Creamery,5 years ago,5037,1346,9313
BurgerKing,Burger King,8 years ago,21118,3896,1655474
AuntieAnnes,Auntie Anne's,9 years ago,72099,32925,58222
oscarmayer,Oscar Mayer,8 years ago,8125,807,25784
rockstarenergy,RockstarEnergyDrink,9 years ago,16340,2400,346132
Hardees,Hardee's,10 years ago,13895,4393,69364
pizzahut,Pizza Hut,10 years ago,411713,91811,1578663
ChickfilA,"Chick-fil-A, Inc.",10 years ago,116982,7781,932929
SUBWAY,SUBWAYÂ®,9 years ago,57053,31909,2358904
dunkindonuts,Dunkin' Donuts,11 years ago,79159,56438,1181507
dominos,Domino's Pizza,9 years ago,356048,662,1251239
PandaExpress,Panda Express,9 years ago,22930,2178,55095
jcpenney,JCPenney,9 years ago,57810,741,458391
Kmart,Kmart,6 years ago,67137,2910,173989
jimmyjohns,Jimmy John's,9 years ago,280766,15352,497768
hbpizza,Hunt Brothers Pizza,8 years ago,3506,255,4814
Tostitos,Tostitos,7 years ago,4953,25,33684
Sears,Sears,9 years ago,78487,10185,207105
Breyers,Breyers,8 years ago,17227,138,117086
Wienermobile,WIENERMOBILE,10 years ago,7655,1322,17969
