fortune_rank_2018,company_name,twitter_handle_&_link,press_contact,ticker_symbol,ceo_name,ceo_title,sector,industry,hq_location,website,years_on_fortune_list
253,Farmers Insurance Exchange,@WeAreFarmers,,,Jeffrey J. Dailey,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Mutual),"Woodland Hills, Calif.",http://www.farmers.com,4
254,First Data,@FirstData,,FDC,Frank J. Bisignano,Chairman & Chief Executive Officer,Business Services,Financial Data Services,New York City,http://www.firstdata.com,24
255,Consolidated Edison,@ConEdison,,ED,John McAvoy,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,New York City,http://www.conedison.com,24
256,Parker-Hannifin,n/a,,PH,Thomas L. Williams,Chairman & Chief Executive Officer,Industrials,Industrial Machinery,Cleveland,http://www.parker.com,24
257,Anadarko Petroleum,n/a,,APC,R. A. Walker,"Chairman, President & Chief Executive Officer",Energy,"Mining, Crude-Oil Production","The Woodlands, Texas",http://www.anadarko.com,18
258,Estee Lauder,@EsteeLauder,,EL,Fabrizio Freda,"President, Chief Executive Officer & Director",Household Products,Household and Personal Products,New York City,http://www.elcompanies.com,23
259,State Street Corp.,@StateStreet,,STT,Joseph L. Hooley,Chairman & Chief Executive Officer,Financials,Commercial Banks,Boston,http://www.statestreet.com,23
260,Tesla,@Tesla,,TSLA,Elon Musk,Chairman & Chief Executive Officer,Motor Vehicles & Parts,Motor Vehicles and Parts,"Palo Alto, Calif.",http://www.tesla.com,2
261,Netflix,@netflix,,NFLX,Reed Hastings,"Chairman, President & Chief Executive Officer",Technology,Internet Services and Retailing,"Los Gatos, Calif.",http://www.netflix.com,4
262,Alcoa,@Alcoa,,AA,Roy C. Harvey,"President, Chief Executive Officer & Director",Materials,Metals,Pittsburgh,http://www.alcoa.com,2
263,Discover Financial Services,@discover,,DFS,David W. Nelms,Chairman & Chief Executive Officer,Financials,Commercial Banks,"Riverwoods, Ill.",http://www.discover.com,10
264,Praxair,@PraxairInc,,PX,Stephen F. Angel,Chairman & Chief Executive Officer,Chemicals,Chemicals,"Danbury, Conn.",http://www.praxair.com,24
265,CSX,n/a,,CSX,James M. Foote,"President, Chief Executive Officer & Director",Transportation,Railroads,"Jacksonville, Fla.",http://www.csx.com,24
266,Xcel Energy,@xcelenergymn,,XEL,Benjamin G.S. Fowke III,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,Minneapolis,http://www.xcelenergy.com,22
267,Unum Group,@unumrecruit ‏,,UNM,Richard P. McKenney,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (stock)","Chattanooga, Tenn.",http://www.unum.com,23
268,Universal Health Services,@uhs_inc,,UHS,Alan B. Miller,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,"King of Prussia, Pa.",http://www.uhsinc.com,15
269,NRG Energy,@nrgenergy,,NRG,Mauricio Gutierrez,"President, Chief Executive Officer & Director",Energy,Energy,"Princeton, N.J.",http://www.nrg.com,12
270,EOG Resources,n/a,,EOG,William R. Thomas,Chairman & Chief Executive Officer,Energy,"Mining, Crude-Oil Production",Houston,http://www.eogresources.com,10
271,Sempra Energy,@SempraEnergy,,SRE,J. Walker Martin,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,San Diego,http://www.sempra.com,20
272,Toys “R” Us,n/a (shuttered),,n/a (shuttered),David A. Brandon,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Wayne, N.J.",http://www.toysrusinc.com,24
273,Group Automotive,@Group1Auto,,GPI,Earl J. Hesterberg,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services",Houston,http://www.group1auto.com,18
274,Entergy,@Entergy,,ETR,Leo P. Denault,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,New Orleans,http://www.entergy.com,24
275,Molson Coors Brewing,@MolsonCoors,,TAP,Mark R. Hunter,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Beverages,Denver,http://www.molsoncoors.com,8
276,L3 Technologies,n/a,,LLL,Christopher E. Kubasik,"President, Chief Executive Officer & Director",Aerospace & Defense,Aerospace and Defense,New York City,http://www.l3t.com,16
277,Ball,@BallCorpHQ,,BLL,John A. Hayes,"Chairman, President & Chief Executive Officer",Materials,"Packaging, Containers","Broomfield, Colo.",http://www.ball.com,22
278,AutoZone,@autozone,,AZO,William C. Rhodes III,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Other,Memphis,http://www.autozone.com,20
279,Murphy USA,@MurphyUSA,,MUSA,R. Andrew Clyde,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"El Dorado, Ark.",http://www.murphyusa.com,5
280,MGM Resorts International,@mgmresortsintl,,MGM,James J. Murren,Chairman & Chief Executive Officer,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,http://www.mgmresorts.com,18
281,Office Depot,@officedepot,,ODP,Gerry P. Smith,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Boca Raton, Fla.",http://www.officedepot.com,24
282,Huntsman,@Huntsman_Corp,,HUN,Peter R. Huntsman,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"The Woodlands, Texas",http://www.huntsman.com,13
283,Baxter International,@baxter_intl,,BAX,Jose E. Almeida,"Chairman, President & Chief Executive Officer",Health Care,Medical Products and Equipment,"Deerfield, Ill.",http://www.baxter.com,24
284,Norfolk Southern,@nscorp,,NSC,James A. Squires,"Chairman, President & Chief Executive Officer",Transportation,Railroads,"Norfolk, Va.",http://www.norfolksouthern.com,24
285,salesforce.com,@salesforce,,CRM,Marc R. Benioff,Chairman & Chief Executive Officer,Technology,Computer Software,San Francisco,http://www.salesforce.com,4
